SRS19847849	Macaca_fascicularis
SRS19847850	Macaca_fascicularis
SRS19847851	Macaca_fascicularis
SRS19847852	Macaca_fascicularis
SRS19847853	Macaca_fascicularis
SRS19847854	Macaca_fascicularis
SRS2013806	Papio_anubis
SRS21150988	Eulemur_rufifrons
SRS21865369	Macaca_mulatta
SRS21865370	Macaca_mulatta
SRS21865371	Macaca_mulatta
SRS21865372	Macaca_mulatta
SRS21865373	Macaca_mulatta
SRS21865374	Macaca_mulatta
SRS21865375	Macaca_mulatta
SRS21865376	Macaca_mulatta
SRS21865377	Macaca_mulatta
SRS21865378	Macaca_mulatta
SRS21865379	Macaca_mulatta
SRS21865380	Macaca_mulatta
SRS21865381	Macaca_mulatta
SRS21865382	Macaca_mulatta
SRS21865383	Macaca_mulatta
SRS21865384	Macaca_mulatta
SRS21865385	Macaca_mulatta
SRS21865386	Macaca_mulatta
SRS21865387	Macaca_mulatta
SRS21865388	Macaca_mulatta
SRS21865389	Macaca_mulatta
SRS21865390	Macaca_mulatta
SRS21865391	Macaca_mulatta
SRS21865392	Macaca_mulatta
SRS21865393	Macaca_mulatta
SRS21865394	Macaca_mulatta
SRS21865395	Macaca_mulatta
SRS21865396	Macaca_mulatta
SRS21865397	Macaca_mulatta
SRS21865398	Macaca_mulatta
SRS21865399	Macaca_mulatta
SRS21865400	Macaca_mulatta
SRS21865401	Macaca_mulatta
SRS21865402	Macaca_mulatta
SRS21865403	Macaca_mulatta
SRS21865404	Macaca_mulatta
SRS21865405	Macaca_mulatta
SRS21865406	Macaca_mulatta
SRS21865407	Macaca_mulatta
SRS21865408	Macaca_mulatta
SRS21865409	Macaca_mulatta
SRS21865410	Macaca_mulatta
SRS21865411	Macaca_mulatta
SRS21865412	Macaca_mulatta
SRS21865413	Macaca_mulatta
SRS21865414	Macaca_mulatta
SRS21865415	Macaca_mulatta
SRS21865416	Macaca_mulatta
SRS21865417	Macaca_mulatta
SRS21865418	Macaca_mulatta
SRS21865419	Macaca_mulatta
SRS21865420	Macaca_mulatta
SRS21865421	Macaca_mulatta
SRS21865422	Macaca_mulatta
SRS21865423	Macaca_mulatta
SRS21865424	Macaca_mulatta
SRS21865425	Macaca_mulatta
SRS21865426	Macaca_mulatta
SRS21865427	Macaca_mulatta
SRS21865428	Macaca_mulatta
SRS21865429	Macaca_mulatta
SRS21865430	Macaca_mulatta
SRS21865431	Macaca_mulatta
SRS21865432	Macaca_mulatta
SRS21865433	Macaca_mulatta
SRS21865434	Macaca_mulatta
SRS21865435	Macaca_mulatta
SRS21865436	Macaca_mulatta
SRS21865437	Macaca_mulatta
SRS21865438	Macaca_mulatta
SRS21865439	Macaca_mulatta
SRS21865440	Macaca_mulatta
SRS21865441	Macaca_mulatta
